,index,open_time,close,y_pred,open,qty,balance,buy,sell,strategy_signal,portfolio_value
191,191,2024-04-26 17:00:00+03:00,0.11717,0,0.11845,8628.303681457905,0.0,,,0,1010.9783423564227
192,192,2024-04-26 19:00:00+03:00,0.11805,1,0.11717,8628.303681457905,0.0,,,1,1018.5712495961056
193,193,2024-04-26 21:00:00+03:00,0.1183,0,0.11806,8628.303681457905,0.0,,,0,1020.7283255164701
194,194,2024-04-26 23:00:00+03:00,0.11821,0,0.1183,8628.303681457905,0.0,,,0,1019.9517781851389
195,195,2024-04-27 01:00:00+03:00,0.1166,0,0.11822,8628.303681457905,0.0,,,0,1006.0602092579916
196,196,2024-04-27 03:00:00+03:00,0.11375,0,0.1166,8628.303681457905,0.0,,,0,981.4695437658366
197,197,2024-04-27 05:00:00+03:00,0.11432,1,0.11379,8628.303681457905,0.0,,,1,986.3876768642676
198,198,2024-04-27 07:00:00+03:00,0.11363,1,0.11431,0.0,993.7814295728969,,2.0,1,993.7814295728969
199,199,2024-04-27 09:00:00+03:00,0.11273,1,0.11362,8720.83895858517,0.0,-2.0,,1,983.1001758013061
200,200,2024-04-27 11:00:00+03:00,0.11296,1,0.11273,8720.83895858517,0.0,,,1,985.1059687617808
201,201,2024-04-27 13:00:00+03:00,0.11223,0,0.11296,8720.83895858517,0.0,,,0,978.7397563220135
202,202,2024-04-27 15:00:00+03:00,0.1131,1,0.11222,8720.83895858517,0.0,,,1,986.3268862159827
203,203,2024-04-27 17:00:00+03:00,0.11178,0,0.11309,8720.83895858517,0.0,,,0,974.8153787906502
204,204,2024-04-27 19:00:00+03:00,0.11451,1,0.11178,8720.83895858517,0.0,,,1,998.6232691475877
205,205,2024-04-27 21:00:00+03:00,0.11392,0,0.1145,8720.83895858517,0.0,,,0,993.4779741620224
206,206,2024-04-27 23:00:00+03:00,0.11331,1,0.11395,8720.83895858517,0.0,,,1,988.1582623972855
207,207,2024-04-28 01:00:00+03:00,0.11296,0,0.1133,8720.83895858517,0.0,,,0,985.1059687617808
208,208,2024-04-28 03:00:00+03:00,0.11434,1,0.11295,8720.83895858517,0.0,,,1,997.1407265246282
209,209,2024-04-28 05:00:00+03:00,0.11526,0,0.11439,8720.83895858517,0.0,,,0,1005.1638983665266
210,210,2024-04-28 07:00:00+03:00,0.11497,0,0.11528,8720.83895858517,0.0,,,0,1002.6348550685369
211,211,2024-04-28 09:00:00+03:00,0.1149,1,0.11498,8720.83895858517,0.0,,,1,1002.0243963414359
212,212,2024-04-28 11:00:00+03:00,0.11358,0,0.11491,8720.83895858517,0.0,,,0,990.5128889161035
213,213,2024-04-28 13:00:00+03:00,0.11268,0,0.11357,8720.83895858517,0.0,,,0,982.6641338533769
214,214,2024-04-28 15:00:00+03:00,0.11318,1,0.1127,8720.83895858517,0.0,,,1,987.0245533326695
215,215,2024-04-28 17:00:00+03:00,0.11293,0,0.11317,8720.83895858517,0.0,,,0,984.8443435930232
216,216,2024-04-28 19:00:00+03:00,0.11361,1,0.11296,8720.83895858517,0.0,,,1,990.774514084861
217,217,2024-04-28 21:00:00+03:00,0.11345,0,0.1136,8720.83895858517,0.0,,,0,989.3791798514874
218,218,2024-04-28 23:00:00+03:00,0.11381,1,0.11345,8720.83895858517,0.0,,,1,992.5186818765781
219,219,2024-04-29 01:00:00+03:00,0.1113,0,0.11381,8720.83895858517,0.0,,,0,970.6293760905293
220,220,2024-04-29 03:00:00+03:00,0.11362,1,0.1113,8720.83895858517,0.0,,,1,990.8617224744469
221,221,2024-04-29 05:00:00+03:00,0.1121,0,0.11363,8720.83895858517,0.0,,,0,977.6060472573976
222,222,2024-04-29 07:00:00+03:00,0.11325,1,0.11209,8720.83895858517,0.0,,,1,987.6350120597705
223,223,2024-04-29 09:00:00+03:00,0.11132,0,0.11326,8720.83895858517,0.0,,,0,970.803792869701
224,224,2024-04-29 11:00:00+03:00,0.11046,1,0.11132,8720.83895858517,0.0,,,1,963.3038713653178
225,225,2024-04-29 13:00:00+03:00,0.11076,0,0.11045,8720.83895858517,0.0,,,0,965.9201230528934
226,226,2024-04-29 15:00:00+03:00,0.11062,0,0.11073,0.0,969.5187248770224,,2.0,0,969.5187248770224
227,227,2024-04-29 17:00:00+03:00,0.11283,1,0.11061,8690.87012277879,0.0,-2.0,,1,980.5908759531309
228,228,2024-04-29 19:00:00+03:00,0.11281,0,0.11283,8690.87012277879,0.0,,,0,980.4170585506752
229,229,2024-04-29 21:00:00+03:00,0.11268,1,0.11281,8690.87012277879,0.0,,,1,979.287245434714
230,230,2024-04-29 23:00:00+03:00,0.11122,0,0.11266,8690.87012277879,0.0,,,0,966.598575055457
231,231,2024-04-30 01:00:00+03:00,0.11303,1,0.11122,8690.87012277879,0.0,,,1,982.3290499776866
232,232,2024-04-30 03:00:00+03:00,0.11234,0,0.11305,8690.87012277879,0.0,,,0,976.3323495929692
233,233,2024-04-30 05:00:00+03:00,0.11409,0,0.11233,8690.87012277879,0.0,,,0,991.541372307832
234,234,2024-04-30 07:00:00+03:00,0.11432,0,0.11409,8690.87012277879,0.0,,,0,993.5402724360713
235,235,2024-04-30 09:00:00+03:00,0.11642,0,0.11433,8690.87012277879,0.0,,,0,1011.7910996939066
236,236,2024-04-30 11:00:00+03:00,0.11236,0,0.11642,8690.87012277879,0.0,,,0,976.5061669954248
237,237,2024-04-30 13:00:00+03:00,0.10799,0,0.11236,8690.87012277879,0.0,,,0,938.5270645588815
